epsilon,seed,observed_deviation,mechanical_baseline,residual
0.0,1,0.0,-0.0,0.0
0.0,2,0.0,-0.0,0.0
0.0,3,0.0,-0.0,0.0
0.0,4,0.0,0.0,0.0
0.0,5,0.0,0.0,0.0
0.0,6,0.0,-0.0,0.0
0.0,7,0.0,0.0,0.0
0.0,8,0.0,-0.0,0.0
0.2,1,-0.030840526391614283,-0.016578314783383733,-0.01426221160823055
0.2,2,-0.09663270065007765,-0.08792657097529094,-0.008706129674786706
0.2,3,-0.09323846541677341,-0.09417163017181757,0.0009331647550441524
0.2,4,0.08229130062323121,0.07509571632877653,0.007195584294454688
0.2,5,0.22576314251269203,0.18515344184314708,0.040609700669544946
0.2,6,-0.29071909059189627,-0.22896190699004124,-0.06175718360185503
0.2,7,0.3994165084761878,0.3262067927496572,0.07320971572653062
0.2,8,-0.009160701329266632,-0.019396790823033,0.010236089493766368
0.4,1,-0.08772606302849084,-0.033156629566767466,-0.054569433461723375
0.4,2,-0.23489062411428777,-0.17585314195058188,-0.059037482163705884
0.4,3,-0.22421981691816165,-0.18834326034363513,-0.035876556574526514
0.4,4,0.21200559840776662,0.15019143265755305,0.06181416575021356
0.4,5,0.5383691598312559,0.37030688368629416,0.16806227614496172
0.4,6,-0.7381426406674404,-0.4579238139800825,-0.2802188266873579
0.4,7,0.9926792359793296,0.6524135854993144,0.3402656504800152
0.4,8,-0.052523596877348665,-0.038793581646066,-0.013730015231282665
0.6,1,-0.25063256966228664,-0.049734944350151196,-0.20089762531213545
0.6,2,-0.48629527142026346,-0.2637797129258728,-0.22251555849439064
0.6,3,-0.4146161372634573,-0.2825148905154527,-0.1321012467480046
0.6,4,0.3516672693871282,0.22528714898632954,0.12638012040079868
0.6,5,1.0833289115574545,0.5554603255294411,0.5278685860280133
0.6,6,-1.69629316425372,-0.6868857209701237,-1.0094074432835964
0.6,7,2.022274072453558,0.9786203782489714,1.0436536942045866
0.6,8,-0.03946615662851229,-0.058190372469099,0.018724215840586707
0.8,1,-0.6313088414199765,-0.06631325913353493,-0.5649955822864415
0.8,2,-0.9318491803323298,-0.35170628390116376,-0.580142896431166
0.8,3,-0.7144086471456724,-0.37668652068727027,-0.33772212645840216
0.8,4,0.6495682374699747,0.3003828653151061,0.3491853721548686
0.8,5,2.14299854851428,0.7406137673725883,1.4023847811416918
0.8,6,-3.885615829872844,-0.915847627960165,-2.9697682019126788
0.8,7,4.116462738622888,1.3048271709986288,2.8116355676242586
0.8,8,0.2994812672666317,-0.077587163292132,0.3770684305587637
