epsilon,seed,volatility
0.0,1,0.0
0.0,2,0.0
0.0,3,0.0
0.0,4,0.0
0.0,5,0.0
0.0,6,0.0
0.0,7,0.0
0.0,8,0.0
0.2,1,0.3915854212332151
0.2,2,0.35399179156254434
0.2,3,0.46788422982579886
0.2,4,0.4038046421723245
0.2,5,0.398401558156898
0.2,6,0.4443184662572391
0.2,7,0.39470804663504083
0.2,8,0.4373271749744209
0.4,1,0.7794914059344754
0.4,2,0.7159307750792889
0.4,3,0.9637554398384447
0.4,4,0.8051337310618452
0.4,5,0.8727963747113512
0.4,6,0.879690296430896
0.4,7,0.8931879243434071
0.4,8,0.9380638919285152
0.6,1,1.195653650798954
0.6,2,1.1259747447146269
0.6,3,1.5463232733985157
0.6,4,1.2071573457410985
0.6,5,1.5113655451742134
0.6,6,1.4020072341082273
0.6,7,1.7033622738807674
0.6,8,1.5815250955441122
0.8,1,1.7667798249349969
0.8,2,1.641725409356658
0.8,3,2.480393555102599
0.8,4,1.8165692116164007
0.8,5,2.6246066351991755
0.8,6,2.2336945061740385
0.8,7,3.36102911529391
0.8,8,2.6577320800559288
