persona,epsilon,mean_abs_bias
trend_following,0.0,1.8627529134850065
trend_following,0.2,1.7187457177263508
trend_following,0.4,1.6837689604905506
trend_following,0.6,1.9048441003100076
trend_following,0.8,2.6606483324497567
mean_reverting,0.0,1.7800423489817825
mean_reverting,0.2,1.8853017863357084
mean_reverting,0.4,2.08648273301391
mean_reverting,0.6,2.4314706156850354
mean_reverting,0.8,3.1335581418947855
fundamentals_anchored,0.0,3.7573802772189935
fundamentals_anchored,0.2,3.841456036548606
fundamentals_anchored,0.4,3.9629295269523723
fundamentals_anchored,0.6,4.178976214189519
fundamentals_anchored,0.8,4.583255046322866
momentum_sensitive,0.0,2.0697753101499026
momentum_sensitive,0.2,1.790781547207677
momentum_sensitive,0.4,1.7133251891281258
momentum_sensitive,0.6,1.875392312369679
momentum_sensitive,0.8,2.6563712701806534
neutral,0.0,1.723105671804604
neutral,0.2,1.7180349597385196
neutral,0.4,1.7153062873242166
neutral,0.6,1.9540933716397109
neutral,0.8,2.7128727191156528
